        Time / ps                E-Field (Y; 0 0 1000) [1]/real
               1.4340274                               0
               1.4385511                               0
               1.4430749                               0
               1.4475986                               0
               1.4521224                               0
               1.4566461                               0
               1.4611699                               0
               1.4656936                               0
               1.4702174                               0
               1.4747411                               0
               1.4792649                               0
               1.4837886                               0
               1.4883123                               0
               1.4928361                               0
               1.4973598                               0
               1.5018836                               0
               1.5064073                               0
               1.5109311                               0
               1.5154548                               0
               1.5199786                               0
               1.5245023                               0
               1.5290261                               0
               1.5335498                               0
               1.5380735                               0
               1.5425973                               0
                1.547121                               0
               1.5516448                               0
               1.5561685                               0
               1.5606923                               0
                1.565216                               0
               1.5697398                               0
               1.5742635                               0
               1.5787873                               0
                1.583311                               0
               1.5878348                               0
               1.5923585                               0
               1.5968822                               0
                1.601406                               0
               1.6059297                               0
               1.6104535                               0
               1.6149772                               0
                1.619501                               0
               1.6240247                               0
               1.6285485                               0
               1.6330722                               0
                1.637596                               0
               1.6421197                               0
               1.6466434                               0
               1.6511672                               0
               1.6556909                               0
               1.6602147                               0
               1.6647384                               0
               1.6692622                               0
               1.6737859                               0
               1.6783097                               0
               1.6828334                               0
               1.6873572                               0
               1.6918809                               0
               1.6964046                               0
               1.7009284                               0
               1.7054521                               0
               1.7099759                               0
               1.7144996                               0
               1.7190234                               0
               1.7235471                               0
               1.7280709                               0
               1.7325946                               0
               1.7371184                               0
               1.7416421                               0
               1.7461659                               0
               1.7506896                               0
               1.7552133                               0
               1.7597371                               0
               1.7642608                               0
               1.7687846                               0
               1.7733083                               0
               1.7778321                               0
               1.7823558                               0
               1.7868796                               0
               1.7914033                               0
               1.7959271                               0
               1.8004508                               0
               1.8049745                               0
               1.8094983                               0
                1.814022                               0
               1.8185458                               0
               1.8230695                               0
               1.8275933                               0
                1.832117                               0
               1.8366408                               0
               1.8411645                               0
               1.8456883                               0
                1.850212                               0
               1.8547357                               0
               1.8592595                               0
               1.8637832                               0
                1.868307                               0
               1.8728307                               0
               1.8773545                               0
               1.8818782                               0
                1.886402                               0
               1.8909257                               0
               1.8954495                               0
               1.8999732                               0
                1.904497                               0
               1.9090207                               0
               1.9135444                               0
