        Frequency / THz                Eps'/real
              0.36513513                       2.6749201
              0.36732733                       2.6756654
              0.36951953                       2.6763704
               0.3717117                       2.6770306
               0.3739039                       2.6776409
               0.3760961                       2.6781957
               0.3782883                       2.6786892
              0.38048047                       2.6791148
              0.38267267                        2.679466
              0.38483623                       2.6797321
              0.38486487                       2.6797352
              0.38705707                       2.6799145
              0.38924924                        2.679996
              0.39144143                       2.6799705
              0.39363363                       2.6798289
              0.39582583                       2.6795614
              0.39801803                       2.6791575
               0.4002102                        2.678606
               0.4024024                       2.6778963
               0.4045946                       2.6770158
              0.40638417                        2.676162
               0.4067868                       2.6759524
              0.40897897                       2.6746938
              0.41117117                       2.6732271
              0.41336337                       2.6715386
              0.41555557                       2.6696157
              0.41774774                       2.6674452
              0.41993994                       2.6650136
              0.42213213                       2.6623087
              0.42432433                       2.6593182
               0.4265165                       2.6560307
               0.4287087                       2.6524358
              0.42913863                       2.6516938
               0.4309009                       2.6485243
               0.4330931                       2.6442883
               0.4352853                       2.6397221
              0.43747747                       2.6348217
              0.43966967                       2.6295853
              0.44186187                       2.6240139
              0.44405407                       2.6181114
              0.44624624                       2.6118844
              0.44843844                       2.6053431
              0.45063064                       2.5985005
              0.45282283                       2.5913737
               0.4531672                       2.5902295
                0.455015                       2.5839825
               0.4572072                       2.5763507
               0.4593994                       2.5685043
               0.4615916                       2.5604732
              0.46378377                       2.5522895
              0.46597597                       2.5439873
              0.46816817                       2.5356028
              0.47036037                       2.5271733
              0.47255254                       2.5187364
              0.47474474                       2.5103307
              0.47693694                       2.5019934
              0.47854117                       2.4959567
              0.47912914                       2.4937611
              0.48132133                       2.4856691
               0.4835135                       2.4777501
               0.4857057                       2.4700348
               0.4878979                       2.4625509
               0.4900901                        2.455323
              0.49228227                       2.4483728
              0.49447447                       2.4417181
              0.49666667                       2.4353735
              0.49885887                       2.4293504
              0.50105107                       2.4236567
              0.50324327                       2.4182975
              0.50533587                       2.4134955
              0.50543541                       2.4132745
              0.50762761                       2.4085875
              0.50981981                        2.404233
                0.512012                       2.4002059
               0.5142042                       2.3964992
               0.5163964                       2.3931043
               0.5185886                       2.3900111
               0.5207808                       2.3872082
                0.522973                       2.3846846
              0.52516514                        2.382427
              0.52735734                       2.3804228
              0.52954954                        2.378659
              0.53174174                       2.3771224
              0.53363091                       2.3759701
              0.53393394                       2.3757994
              0.53612614                       2.3746774
              0.53831834                       2.3737438
              0.54051054                       2.3729858
              0.54270267                       2.3723917
              0.54489487                       2.3719497
              0.54708707                       2.3716488
              0.54927927                       2.3714786
              0.55147147                       2.3714287
              0.55366367                         2.37149
              0.55585587                       2.3716531
              0.55804807                       2.3719096
              0.56024027                       2.3722515
              0.56243241                       2.3726716
              0.56351024                       2.3729043
              0.56462461                       2.3731625
              0.56681681                       2.3737178
              0.56900901                       2.3743312
              0.57120121                       2.3749974
               0.5733934                        2.375711
               0.5755856                       2.3764668
               0.5777778                       2.3772607
              0.57996994                        2.378088
              0.58216214                       2.3789454
              0.58435434                       2.3798287
              0.58654654                       2.3807352
              0.58873874                       2.3816612
              0.59093094                       2.3826044
              0.59312314                       2.3835621
              0.59506255                       2.3844194
              0.59531534                       2.3845317
