        Frequency / THz                Eps''/real
               0.3497898                     0.089032754
              0.35198197                     0.091409594
              0.35417417                     0.093864329
              0.35636637                     0.096399553
              0.35855857                     0.099017911
              0.36075076                      0.10172204
              0.36294293                      0.10451464
              0.36443084                      0.10646179
              0.36513513                      0.10739836
              0.36732733                      0.11037588
              0.36951953                      0.11344983
               0.3717117                      0.11662281
               0.3739039                      0.11989732
               0.3760961                      0.12327579
               0.3782883                       0.1267605
              0.38048047                      0.13035357
              0.38267267                      0.13405696
              0.38483623                      0.13782176
              0.38486487                      0.13787232
              0.38705707                       0.1418011
              0.38924924                      0.14584431
              0.39144143                      0.15000264
              0.39363363                      0.15427627
              0.39582583                      0.15866487
              0.39801803                      0.16316746
               0.4002102                      0.16778243
               0.4024024                      0.17250735
               0.4045946                      0.17733891
              0.40638417                      0.18135926
               0.4067868                      0.18227287
              0.40897897                      0.18730386
              0.41117117                       0.1924254
              0.41336337                      0.19762972
              0.41555557                      0.20290762
              0.41774774                      0.20824851
              0.41993994                      0.21364017
              0.42213213                      0.21906877
              0.42432433                      0.22451876
               0.4265165                      0.22997288
               0.4287087                      0.23541206
              0.42913863                      0.23647529
               0.4309009                      0.24081548
               0.4330931                       0.2461606
               0.4352853                      0.25142327
              0.43747747                      0.25657779
              0.43966967                      0.26159719
              0.44186187                      0.26645333
              0.44405407                      0.27111721
              0.44624624                      0.27555937
              0.44843844                      0.27975017
              0.45063064                      0.28366023
              0.45282283                      0.28726086
               0.4531672                      0.28779656
                0.455015                      0.29052457
               0.4572072                      0.29342544
               0.4593994                       0.2959398
               0.4615916                      0.29804647
              0.46378377                      0.29972738
              0.46597597                      0.30096775
              0.46816817                      0.30175665
              0.47036037                      0.30208701
              0.47255254                      0.30195597
              0.47474474                      0.30136475
              0.47693694                      0.30031881
              0.47854117                      0.29927063
              0.47912914                      0.29882768
              0.48132133                      0.29690459
               0.4835135                      0.29456639
               0.4857057                      0.29183313
               0.4878979                      0.28872758
               0.4900901                       0.2852748
              0.49228227                      0.28150174
              0.49447447                       0.2774367
              0.49666667                      0.27310881
              0.49885887                      0.26854768
              0.50105107                      0.26378292
              0.50324327                      0.25884369
              0.50533587                      0.25399226
              0.50543541                      0.25375855
              0.50762761                      0.24855494
              0.50981981                      0.24325907
                0.512012                      0.23789573
               0.5142042                      0.23248808
               0.5163964                      0.22705764
               0.5185886                      0.22162412
               0.5207808                      0.21620552
                0.522973                      0.21081807
              0.52516514                      0.20547622
              0.52735734                      0.20019284
              0.52954954                      0.19497915
              0.53174174                      0.18984485
              0.53363091                      0.18549037
              0.53393394                      0.18479826
              0.53612614                      0.17984636
              0.53831834                      0.17499496
              0.54051054                       0.1702487
              0.54270267                      0.16561127
              0.54489487                       0.1610854
              0.54708707                      0.15667301
              0.54927927                      0.15237537
              0.55147147                      0.14819299
              0.55366367                      0.14412591
              0.55585587                      0.14017364
              0.55804807                      0.13633527
              0.56024027                      0.13260952
              0.56243241                      0.12899482
              0.56351024                      0.12725781
              0.56462461                      0.12548932
              0.56681681                      0.12209097
              0.56900901                      0.11879755
              0.57120121                      0.11560667
