        Time / ps                E-Field (Y; 0 0 1000) [1]/real
               1.4294107                               0
               1.4339341                               0
               1.4384576                               0
                1.442981                               0
               1.4475045                               0
               1.4520279                               0
               1.4565514                               0
               1.4610748                               0
               1.4655983                               0
               1.4701217                               0
               1.4746452                               0
               1.4791686                               0
               1.4836921                               0
               1.4882155                               0
                1.492739                               0
               1.4972624                               0
               1.5017859                               0
               1.5063093                               0
               1.5108328                               0
               1.5153562                               0
               1.5198797                               0
               1.5244031                               0
               1.5289266                               0
               1.5334501                               0
               1.5379735                               0
                1.542497                               0
               1.5470204                               0
               1.5515439                               0
               1.5560673                               0
               1.5605908                               0
               1.5651142                               0
               1.5696377                               0
               1.5741611                               0
               1.5786846                               0
                1.583208                               0
               1.5877315                               0
               1.5922549                               0
               1.5967784                               0
               1.6013018                               0
               1.6058253                               0
               1.6103487                               0
               1.6148722                               0
               1.6193956                               0
               1.6239191                               0
               1.6284425                               0
                1.632966                               0
               1.6374894                               0
               1.6420129                               0
               1.6465363                               0
               1.6510598                               0
               1.6555832                               0
               1.6601067                               0
               1.6646301                               0
               1.6691536                               0
                1.673677                               0
               1.6782005                               0
                1.682724                               0
               1.6872474                               0
               1.6917709                               0
               1.6962943                               0
               1.7008178                               0
               1.7053412                               0
               1.7098647                               0
               1.7143881                               0
               1.7189116                               0
                1.723435                               0
               1.7279585                               0
               1.7324819                               0
               1.7370054                               0
               1.7415288                               0
               1.7460523                               0
               1.7505757                               0
               1.7550992                               0
               1.7596226                               0
               1.7641461                               0
               1.7686695                               0
                1.773193                               0
               1.7777164                               0
               1.7822399                               0
               1.7867633                               0
               1.7912868                               0
               1.7958102                               0
               1.8003337                               0
               1.8048571                               0
               1.8093806                               0
                1.813904                               0
               1.8184275                               0
               1.8229509                               0
               1.8274744                               0
               1.8319978                               0
               1.8365213                               0
               1.8410448                               0
               1.8455682                               0
               1.8500917                               0
               1.8546151                               0
               1.8591386                               0
                1.863662                               0
               1.8681855                               0
               1.8727089                               0
               1.8772324                               0
               1.8817558                               0
               1.8862793                               0
               1.8908027                               0
               1.8953262                               0
               1.8998496                               0
               1.9043731                               0
               1.9088965                               0
                 1.91342                               0
               1.9179434                               0
               1.9224669                               0
               1.9269903                               0
               1.9315138                               0
               1.9360372                               0
               1.9405607                               0
               1.9450841                               0
               1.9496076                               0
                1.954131                               0
               1.9586545                               0
               1.9631779                               0
               1.9677014                               0
               1.9722248                               0
               1.9767483                               0
               1.9812717                               0
               1.9857952                               0
               1.9903187                               0
               1.9948421                               0
               1.9993656                               0
                2.003889                               0
               2.0084125                               0
               2.0129359                               0
               2.0174594                               0
               2.0219828                               0
               2.0265063                               0
               2.0310297                               0
               2.0355532                               0
               2.0400766                               0
               2.0446001                               0
               2.0491235                               0
                2.053647                               0
