        Frequency / THz                Eps''/real
               0.3739039                       2.4037063
               0.3760961                       2.3896956
               0.3782883                       2.3758473
              0.38048047                       2.3621585
              0.38267267                       2.3486266
              0.38483623                       2.3354225
              0.38486487                       2.3352487
              0.38705707                       2.3220224
              0.38924924                       2.3089452
              0.39144143                       2.2960143
              0.39363363                       2.2832277
              0.39582583                       2.2705824
              0.39801803                       2.2580767
               0.4002102                       2.2457078
               0.4024024                       2.2334738
               0.4045946                       2.2213721
              0.40638417                       2.2115901
               0.4067868                       2.2094011
              0.40897897                       2.1975584
              0.41117117                       2.1858418
              0.41336337                       2.1742496
              0.41555557                       2.1627798
              0.41774774                       2.1514304
              0.41993994                       2.1401994
              0.42213213                       2.1290851
              0.42432433                       2.1180854
               0.4265165                        2.107199
               0.4287087                       2.0964239
              0.42913863                       2.0943236
               0.4309009                       2.0857584
               0.4330931                       2.0752008
               0.4352853                       2.0647497
              0.43747747                       2.0544033
              0.43966967                       2.0441601
              0.44186187                       2.0340185
              0.44405407                        2.023977
              0.44624624                        2.014034
              0.44843844                       2.0041885
              0.45063064                       1.9944388
              0.45282283                       1.9847833
               0.4531672                       1.9832751
                0.455015                       1.9752209
               0.4572072                       1.9657502
               0.4593994                         1.95637
               0.4615916                       1.9470787
              0.46378377                       1.9378754
              0.46597597                       1.9287586
              0.46816817                       1.9197272
              0.47036037                       1.9107801
              0.47255254                       1.9019158
              0.47474474                       1.8931335
              0.47693694                        1.884432
              0.47854117                       1.8781147
              0.47912914                       1.8758099
              0.48132133                       1.8672665
               0.4835135                       1.8588005
               0.4857057                       1.8504109
               0.4878979                       1.8420968
               0.4900901                       1.8338571
              0.49228227                       1.8256907
              0.49447447                       1.8175967
              0.49666667                       1.8095741
              0.49885887                       1.8016222
              0.50105107                       1.7937397
              0.50324327                        1.785926
              0.50533587                       1.7785304
              0.50543541                         1.77818
              0.50762761                       1.7705009
              0.50981981                       1.7628878
                0.512012                         1.75534
               0.5142042                       1.7478565
               0.5163964                       1.7404366
               0.5185886                       1.7330793
               0.5207808                       1.7257841
                0.522973                         1.71855
              0.52516514                       1.7113762
              0.52735734                       1.7042621
              0.52954954                        1.697207
              0.53174174                         1.69021
              0.53363091                       1.6842263
              0.53393394                       1.6832703
              0.53612614                       1.6763875
              0.53831834                       1.6695608
              0.54051054                       1.6627895
              0.54270267                       1.6560727
              0.54489487                       1.6494101
              0.54708707                       1.6428009
              0.54927927                       1.6362444
              0.55147147                       1.6297401
              0.55366367                       1.6232873
              0.55585587                       1.6168853
              0.55804807                       1.6105337
              0.56024027                       1.6042317
              0.56243241                       1.5979789
              0.56351024                       1.5949225
              0.56462461                       1.5917747
              0.56681681                       1.5856184
              0.56900901                       1.5795096
