        Time / ps                E-Field (X; 0 0 250) [1]/real
               5.9721123                       13.833291
               5.9764811                       11.607141
               5.9808498                       9.0344274
               5.9852186                       6.0865086
               5.9895874                       2.7326341
               5.9939561                      -1.0602464
               5.9983249                      -5.3276799
               6.0026937                      -10.107908
               6.0070625                       -15.44206
               6.0114312                       -21.37435
                  6.0158                      -27.952257
               6.0201688                      -35.226702
               6.0245376                      -43.252192
               6.0289063                      -52.086973
               6.0332751                      -61.793129
               6.0376439                      -72.436669
               6.0420126                      -84.087595
               6.0463814                      -96.819924
               6.0507502                      -110.71168
                6.055119                      -125.84491
               6.0594877                      -142.30551
               6.0638565                      -160.18323
               6.0682253                      -179.57154
               6.0725941                      -200.56742
               6.0769628                      -223.27127
               6.0813316                       -247.7867
               6.0857004                      -274.22025
               6.0900691                      -302.68138
               6.0944379                      -333.28205
               6.0988067                      -366.13669
               6.1031755                      -401.36188
               6.1075442                      -439.07622
                6.111913                       -479.4001
               6.1162818                      -522.45561
               6.1206506                      -568.36632
               6.1250193                      -617.25709
               6.1293881                      -669.25393
               6.1337569                      -724.48387
               6.1381256                      -783.07465
               6.1424944                      -845.15475
               6.1468632                      -910.85298
                6.151232                      -980.29815
               6.1556007                      -1053.6189
               6.1599695                      -1130.9431
               6.1643383                      -1212.3975
               6.1687071                       -1298.107
               6.1730758                      -1388.1942
               6.1774446                      -1482.7781
               6.1818134                      -1581.9739
               6.1861821                      -1685.8911
               6.1905509                       -1794.633
               6.1949197                      -1908.2953
               6.1992885                      -2026.9647
               6.2036572                      -2150.7167
                6.208026                      -2279.6155
               6.2123948                      -2413.7104
               6.2167636                      -2553.0353
               6.2211323                      -2697.6063
               6.2255011                      -2847.4203
               6.2298699                      -3002.4522
               6.2342386                      -3162.6537
               6.2386074                      -3327.9513
               6.2429762                      -3498.2439
                6.247345                      -3673.4007
               6.2517137                      -3853.2601
               6.2560825                      -4037.6261
               6.2604513                      -4226.2673
               6.2648201                      -4418.9147
               6.2691888                      -4615.2589
               6.2735576                      -4814.9489
               6.2779264                      -5017.5889
               6.2822951                      -5222.7364
               6.2866639                      -5429.8989
               6.2910327                      -5638.5324
               6.2954015                       -5848.038
               6.2997702                      -6057.7598
                6.304139                      -6266.9804
               6.3085078                      -6474.9192
               6.3128766                      -6680.7275
               6.3172453                      -6883.4871
               6.3216141                      -7082.2048
               6.3259829                      -7275.8096
               6.3303516                      -7463.1502
               6.3347204                        -7642.99
               6.3390892                       -7814.005
                6.343458                      -7974.7802
               6.3478267                      -8123.8048
               6.3521955                      -8259.4706
               6.3565643                      -8380.0685
               6.3609331                      -8483.7862
               6.3653018                       -8568.706
               6.3696706                      -8632.8015
               6.3740394                      -8673.9352
               6.3784081                      -8689.8599
               6.3827769                      -8678.2137
               6.3871457                      -8636.5203
               6.3915145                      -8562.1877
               6.3958832                      -8452.5086
                6.400252                      -8304.6584
               6.4046208                      -8115.6939
               6.4089896                       -7882.556
               6.4133583                      -7602.0654
               6.4177271                      -7270.9271
               6.4220959                      -6885.7288
               6.4264646                      -6442.9431
               6.4308334                      -5938.9281
               6.4352022                      -5369.9287
                6.439571                      -4732.0794
               6.4439397                      -4021.4066
               6.4483085                      -3233.8328
               6.4526773                      -2365.1784
               6.4570461                      -1411.1684
               6.4614148                      -367.43668
               6.4657836                       770.46687
               6.4701524                       2007.0695
               6.4745211                        3346.968
               6.4788899                       4794.8184
               6.4832587                       6355.3276
               6.4876275                        8033.243
               6.4919962                       9833.3396
                6.496365                        11760.41
               6.5007338                        13819.25
               6.5051026                       16014.647
               6.5094713                       18351.361
               6.5138401                        20834.12
               6.5182089                       23467.589
               6.5225776                       26256.368
               6.5269464                       29204.961
               6.5313152                       32317.773
                6.535684                       35599.079
               6.5400527                       39053.012
               6.5444215                       42683.534
               6.5487903                       46494.424
               6.5531591                       50489.258
               6.5575278                        54671.37
               6.5618966                       59043.843
               6.5662654                       63609.481
               6.5706341                       68370.782
               6.5750029                       73329.911
               6.5793717                       78488.663
               6.5837405                       83848.447
               6.5881092                       89410.261
                6.592478                       95174.641
               6.5968468                       101141.66
               6.6012156                       107310.88
               6.6055843                       113681.31
               6.6099531                       120251.42
               6.6143219                       127019.05
               6.6186906                       133981.45
               6.6230594                        141135.2
               6.6274282                       148476.18
                6.631797                       155999.57
               6.6361657                       163699.79
               6.6405345                        171570.5
               6.6449033                       179604.55
               6.6492721                       187793.97
               6.6536408                       196129.95
               6.6580096                       204602.78
               6.6623784                       213201.85
               6.6667471                       221915.66
               6.6711159                       230731.71
               6.6754847                       239636.54
               6.6798535                        248615.7
               6.6842222                       257653.71
                6.688591                       266734.09
               6.6929598                       275839.33
               6.6973286                       284950.82
               6.7016973                       294048.91
               6.7060661                        303112.9
               6.7104349                       312120.97
               6.7148036                       321050.29
               6.7191724                        329876.9
               6.7235412                       338575.78
                 6.72791                       347120.82
               6.7322787                       355484.93
               6.7366475                       363639.89
               6.7410163                       371556.55
               6.7453851                       379204.69
               6.7497538                       386553.17
               6.7541226                       393569.86
               6.7584914                       400221.77
               6.7628601                       406475.01
               6.7672289                       412294.84
               6.7715977                       417645.72
               6.7759665                       422491.37
               6.7803352                       426794.77
                6.784704                        430518.3
               6.7890728                       433623.76
               6.7934416                       436072.38
               6.7978103                          437825
               6.8021791                       438842.09
               6.8065479                       439083.85
               6.8109166                       438510.21
               6.8152854                       437081.01
               6.8196542                       434756.01
                6.824023                       431495.07
               6.8283917                       427258.16
               6.8327605                       422005.51
               6.8371293                       415697.72
               6.8414981                        408295.9
               6.8458668                       399761.68
               6.8502356                       390057.45
               6.8546044                        379146.4
               6.8589731                       366992.62
               6.8633419                       353561.31
               6.8677107                       338818.79
               6.8720795                       322732.66
               6.8764482                       305271.95
                6.880817                       286407.26
               6.8851858                       266110.84
               6.8895546                       244356.74
               6.8939233                       221120.97
               6.8982921                        196381.6
               6.9026609                       170118.91
               6.9070296                       142315.52
               6.9113984                        112956.5
               6.9157672                       82029.499
                6.920136                        49524.87
               6.9245047                       15435.778
               6.9288735                      -20241.682
               6.9332423                      -57508.379
               6.9376111                      -96362.025
               6.9419798                      -136797.07
               6.9463486                      -178804.61
               6.9507174                      -222372.29
               6.9550861                      -267484.22
               6.9594549                      -314120.83
               6.9638237                      -362258.88
               6.9681925                      -411871.37
               6.9725612                      -462927.49
                 6.97693                      -515392.48
               6.9812988                       -569227.7
               6.9856676                      -624390.48
               6.9900363                      -680834.24
               6.9944051                      -738508.23
               6.9987739                      -797357.86
               7.0031426                      -857324.42
               7.0075114                      -918345.16
               7.0118802                      -980353.36
                7.016249                      -1043278.2
               7.0206177                      -1107045.3
               7.0249865                      -1171575.9
               7.0293553                      -1236787.8
               7.0337241                        -1302595
               7.0380928                      -1368907.8
               7.0424616                      -1435632.8
               7.0468304                      -1502673.5
               7.0511991                      -1569929.7
               7.0555679                      -1637298.5
               7.0599367                      -1704673.4
               7.0643055                      -1771945.6
               7.0686742                      -1839003.2
                7.073043                      -1905731.9
               7.0774118                        -1972015
               7.0817805                      -2037733.6
               7.0861493                      -2102766.8
               7.0905181                      -2166992.2
               7.0948869                      -2230285.9
               7.0992556                      -2292522.4
               7.1036244                      -2353575.7
               7.1079932                      -2413318.6
                7.112362                      -2471623.4
               7.1167307                      -2528362.5
               7.1210995                      -2583408.1
               7.1254683                      -2636632.9
                7.129837                      -2687909.8
               7.1342058                      -2737113.2
               7.1385746                      -2784118.2
               7.1429434                      -2828801.6
