        Frequency / THz                Eps'' (Fit)/real
              0.38267267                       5.1030736
              0.38483623                       5.0791507
              0.38486487                        5.078836
              0.38705707                       5.0548949
              0.38924924                       5.0312457
              0.39144143                       5.0078826
              0.39363363                       4.9848013
              0.39582583                        4.961997
              0.39801803                        4.939465
               0.4002102                       4.9172006
               0.4024024                       4.8951998
               0.4045946                       4.8734574
              0.40638417                       4.8558974
               0.4067868                       4.8519697
              0.40897897                       4.8307328
              0.41117117                        4.809742
              0.41336337                       4.7889938
              0.41555557                       4.7684836
              0.41774774                       4.7482085
              0.41993994                       4.7281642
              0.42213213                       4.7083468
              0.42432433                       4.6887531
               0.4265165                       4.6693797
               0.4287087                       4.6502228
              0.42913863                       4.6464906
               0.4309009                        4.631279
               0.4330931                        4.612545
               0.4352853                        4.594018
              0.43747747                       4.5756941
              0.43966967                       4.5575709
              0.44186187                       4.5396447
              0.44405407                       4.5219131
              0.44624624                       4.5043726
              0.44843844                        4.487021
              0.45063064                       4.4698544
              0.45282283                       4.4528713
               0.4531672                       4.4502196
                0.455015                       4.4360681
               0.4572072                       4.4194422
               0.4593994                       4.4029913
               0.4615916                        4.386713
              0.46378377                       4.3706045
              0.46597597                       4.3546629
              0.46816817                       4.3388867
              0.47036037                       4.3232727
              0.47255254                       4.3078189
              0.47474474                       4.2925229
              0.47693694                       4.2773829
              0.47854117                       4.2664008
              0.47912914                       4.2623963
              0.48132133                       4.2475605
               0.4835135                       4.2328744
               0.4857057                       4.2183352
               0.4878979                       4.2039409
               0.4900901                       4.1896896
              0.49228227                       4.1755795
              0.49447447                       4.1616082
              0.49666667                       4.1477742
              0.49885887                       4.1340752
              0.50105107                       4.1205096
              0.50324327                       4.1070762
              0.50533587                       4.0943737
              0.50543541                       4.0937719
              0.50762761                       4.0805964
              0.50981981                       4.0675468
                0.512012                       4.0546217
               0.5142042                         4.04182
               0.5163964                       4.0291395
               0.5185886                       4.0165787
               0.5207808                       4.0041361
                0.522973                       3.9918103
              0.52516514                       3.9795995
              0.52735734                       3.9675021
              0.52954954                       3.9555171
              0.53174174                       3.9436426
              0.53363091                       3.9334974
              0.53393394                       3.9318774
              0.53612614                       3.9202201
              0.53831834                        3.908669
              0.54051054                       3.8972232
              0.54270267                       3.8858812
              0.54489487                       3.8746414
              0.54708707                        3.863503
              0.54927927                       3.8524644
              0.55147147                       3.8415244
              0.55366367                       3.8306816
              0.55585587                       3.8199351
              0.55804807                       3.8092835
              0.56024027                       3.7987256
              0.56243241                       3.7882605
              0.56351024                        3.783149
              0.56462461                       3.7778869
              0.56681681                       3.7676036
              0.56900901                       3.7574096
              0.57120121                       3.7473035
               0.5733934                       3.7372847
               0.5755856                       3.7273519
               0.5777778                        3.717504
              0.57996994                       3.7077403
              0.58216214                       3.6980596
              0.58435434                       3.6884606
              0.58654654                       3.6789427
              0.58873874                       3.6695046
              0.59093094                        3.660146
              0.59312314                       3.6508653
              0.59506255                        3.642719
              0.59531534                       3.6416616
              0.59750754                       3.6325345
              0.59969968                       3.6234827
              0.60189188                       3.6145055
              0.60408407                        3.605602
              0.60627627                       3.5967712
              0.60846847                       3.5880125
              0.61066067                       3.5793247
              0.61285287                       3.5707073
              0.61504507                       3.5621595
              0.61723721                       3.5536802
              0.61942941                        3.545269
              0.62162161                       3.5369248
              0.62381381                       3.5286472
              0.62600601                       3.5204349
              0.62819821                       3.5122876
              0.62838161                       3.5116088
              0.63039041                       3.5042045
               0.6325826                       3.4961848
               0.6347748                       3.4882278
              0.63696694                       3.4803329
              0.63915914                       3.4724994
              0.64135134                       3.4647262
              0.64354354                       3.4570134
              0.64573574                       3.4493594
              0.64792794                       3.4417644
              0.65012014                       3.4342272
              0.65231234                       3.4267476
              0.65450448                       3.4193246
              0.65669668                       3.4119577
              0.65888888                       3.4046464
              0.66108108                       3.3973899
              0.66327327                       3.3901877
              0.66356629                       3.3892291
              0.66546547                       3.3830392
              0.66765767                       3.3759439
              0.66984987                        3.368901
              0.67204207                       3.3619103
              0.67423421                       3.3549709
              0.67642641                       3.3480825
              0.67861861                       3.3412445
              0.68081081                       3.3344562
              0.68300301                       3.3277171
              0.68519521                       3.3210268
              0.68738741                       3.3143849
              0.68957961                       3.3077905
              0.69177175                       3.3012435
              0.69396394                       3.2947433
              0.69615614                       3.2882891
              0.69834834                       3.2818809
              0.70054054                       3.2755179
              0.70072103                        3.274996
              0.70273274                       3.2691996
              0.70492494                       3.2629259
              0.70711714                       3.2566957
              0.70930928                       3.2505093
              0.71150148                       3.2443659
              0.71369368                       3.2382648
              0.71588588                       3.2322059
              0.71807808                       3.2261889
              0.72027028                       3.2202129
              0.72246248                       3.2142777
              0.72465467                       3.2083831
              0.72684687                       3.2025285
              0.72903901                       3.1967134
              0.73123121                       3.1909375
              0.73342341                       3.1852005
              0.73561561                       3.1795018
              0.73780781                       3.1738412
              0.73995614                       3.1683304
              0.74000001                       3.1682181
              0.74219221                       3.1626325
              0.74438441                       3.1570837
              0.74657655                       3.1515715
              0.74876875                       3.1460953
              0.75096095                        3.140655
              0.75315315                       3.1352503
              0.75534534                       3.1298804
              0.75753754                       3.1245456
              0.75972974                       3.1192451
              0.76192194                       3.1139786
              0.76411414                       3.1087458
              0.76630628                       3.1035466
              0.76849848                       3.0983803
              0.77069068                       3.0932467
              0.77288288                       3.0881457
              0.77507508                        3.083077
              0.77726728                       3.0780399
              0.77945948                       3.0730343
              0.78138816                       3.0686562
              0.78165168                       3.0680599
              0.78384382                       3.0631163
              0.78603601                       3.0582035
              0.78822821                       3.0533211
              0.79042041                       3.0484686
              0.79261261                       3.0436459
              0.79480481                       3.0388525
              0.79699701                       3.0340884
              0.79918921                       3.0293529
              0.80138141                       3.0246463
              0.80357355                        3.019968
              0.80576575                       3.0153179
              0.80795795                       3.0106955
              0.81015015                       3.0061007
              0.81234235                        3.001533
              0.81453454                       2.9969926
              0.81672674                       2.9924788
              0.81891894                       2.9879916
              0.82111108                       2.9835305
              0.82330328                       2.9790957
                 0.82514                          2.9754
              0.82549548                       2.9746866
              0.82768768                       2.9703031
              0.82987988                       2.9659448
              0.83207208                       2.9616117
              0.83426428                       2.9573035
              0.83645648                       2.9530199
              0.83864868                       2.9487605
